Publish_Dates,Mains,Sources,Document_Types,Web_Urls,New_Desks,Section_Names,Snippets
2016-01-01,"Paid Notice: Deaths  RATNER, LAURA",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9C01E5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"RATNER--Laura, on Decem- ber 30, 2015, formerly of Hewlett Harbor. Beloved wife of the late Arthur. Adored mother of Dennis and Andrea and Felice and Jay Seeman. Loving grandma of Allison, Rebecca and Andy, Ari and Brendon. Doting GG of Ethan, Lily and Meyer. We will never forget her strength of mind and body. A graduate of NYU Business School. Avid reader and consummate crossword puzzler. Services will be held 10am, Monday, January 4, 2016 at Boulevard-Riverside Chapels, 1450 Broadway, Hewlett, NY 11557. 1/3"
2016-01-01,"Paid Notice: Memorials  SCHEINMAN, ALAN",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9B05E4DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"SCHEINMAN--Alan. Happy 71st Birthday. Miss your smile, humor & suntan. Scheinman & Levien Family 1/3"
2016-01-01,"Paid Notice: Deaths  SHORT, STEPHEN",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9F02E5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"SHORT--Stephen. June 11, 1945-December 12, 2015. Stephen Short, a former Procter of the Admiralty, who also served in the Merchant Marine, passed away on December 12th. A longtime member of the New York State bar, his legal career encompassed maritime, criminal and personal injury law. In his youth, Mr. Short was also a gifted athlete, excelling as a swimmer, skier, sailor and avid tennis player. He was also deemed an Olympic caliber fencer by Maestro Odon Niederkirchner, of the NYAC. A colorful figure and lifelong champion of the underdog, he will be missed by all who loved him, including his sisters, Leslie Blake and Cheryl Bulbach and his brother, Dr. Wayne Blackmon. As per his wishes, Mr. Short's corneas were donated to the Eye Bank for Sight Restoration. A Memorial will be held in mid-January at the Village Funeral Home. 1/3"
2016-01-01,"Paid Notice: Deaths  GLANTZ, IRWIN L.",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=980CE6DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"GLANTZ--Irwin L.,91, died peacefully at home on December 26, 2015 after a brief illness, with his loving family at his side. He is survived by his beloved wife of 62 years, Gene; devoted children Paul, Judith Kingman, and Robert; grandchildren Alexander and Garrett Kingman and Michelle and David Glantz, and nephew Bruce Kauderer. A consummate gentleman, he was a World War II veteran, lawyer, founder of real estate development, investment and management firm, Windsor Properties, and esteemed patriarch of his extended family. His patience, wisdom, optimism, generosity and strong family values will be sorely missed by all who were privileged to know him. Laid to rest in Sharon Gardens, Valhalla, New York on December 28, 2015. 1/3"
2016-01-01,"Paid Notice: Deaths  GEIGER, MELISSA BROWN WILEY",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9F0DE6DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"GEIGER--Melissa Brown Wiley, died of natural causes in New York City on Saturday, December 19, 2015 surrounded by her loving family. Born in Bay Shore, NY in 1937, she was the oldest child of Melissa Adams and Robert Hoffman Wiley. Melissa graduated from Spring Valley High School, Spring Valley, NY in 1955. She attended Skidmore College and married in 1957. Howard and Melissa began their marriage at Dartmouth College. Howard's career brought them to many places: Munich, Germany; New Jersey; Minneapolis; San Francisco and finally settling down in Manhattan in 1987. Their lifelong home was on Lake George in Putnam, NY. Melissa brought music and friendship wherever she went; these passions defined her life. An extremely talented pianist, she played the organ for her church beginning at age 12. Melissa played an active role in her children's education, always volunteering, often as the accompanist for school musical productions. She sang in the Plymouth Church Choir and with the Plymouth Music Series. She supported the Minnesota Opera. Melissa was the Minister of Music, Organist and Choir Director at Suffern Presbyterian Church in Suffern, NY. While living in San Francisco, she sang in the Unitarian Church Choir and was a board member of The San Francisco Chamber Singers, now called Volti. In Manhattan, she joined the music department of the Rudolf Steiner School as a faculty member and retired in 2002. Melissa joined The Riverside Church in 1988 committed to making our world a better place through music. She was a member of The Riverside Choir, the Riverside Choral Society, served as Music Committee chair, raised funds for the Men's Shelter and was actively involved in the founding of the Catherine Van Buren Endowment Fund and the Friends of Music. She most recently enjoyed spending time with her children, grandchildren, friends, and her dog. Melissa is survived by her children, Melissa Ann Geiger (Paul Marvin) of New York, NY, Kirsten Geiger Rider (Harold) of Winnetka, IL, Howard (Skip) Wilton Geiger III of New York, NY, Christopher Wiley Geiger of Larkspur, CA and her brother, William Adams Wiley (Lynn) of Grantham, NH; nine grandchildren, Paul and Oliver Marvin of New York, NY, Harold, Sarah and Christopher Rider of Winnetka, IL, Lillian Geiger of New York, NY, Wiley, Bourke and Finley Geiger of Larkspur, CA as well as many adored nieces, nephews and her beloved dog Libee. Her husband of 56 years, Howard Wilton and her brother, George Martin Wiley III, predeceased Melissa. In lieu of flowers, donations can be made to Friends of Music, The Riverside Church, 490 Riverside Drive, New York, NY, 10027. Services will be held at The Riverside Church, 490 Riverside Drive, New York, NY at 12:00pm on Monday, January 4. A memorial reception will immediately follow. There will be additional opportunities to meet with family and friends. 1/3"
2016-01-01,"Paid Notice: Deaths  RATNER, LAURA",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9506E5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"RATNER--Laura. Our hearts are saddened by the death of Laura, mother of our very dear friends Felice (Jay) and Dennis (Andrea). She lived a long life and is now at peace. We will miss her. Cheryl and Bill 1/3"
2016-01-01,"Paid Notice: Deaths  ZARITSKY, AVROM",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=980DE5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"ZARITSKY--Avrom. Former producer NBC News. Survived by wife, Joyce (Ship) children, Joshua and Eve. Funeral Sunday, 11am, Edwards Dowdle, 64 Ashford, Dobbs Ferry, NY. Donations to Michael J. Fox Foundation Parkinson's Research. 1/3"
2016-01-01,"Paid Notice: Deaths  DICKLER, RUTH",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9501E6DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"DICKLER--Ruth. It is with deep sadness that we note the passing of Mrs. Ruth Dickler who first joined The Citizens Housing & Planning Council as a volunteer in 1962, where she began to build and shape our archival library. She was an important resource for New York City's researchers, academics, and students. Upon her retirement she became a member of CHPC's Board of Directors. A talented writer and editor, her research and organizational skills helped to shape CHPC's work for nearly five decades. A mentor and friend to all of us at CHPC, her legacy continues in the historic library that bares her name. Our heartfelt condolences to her family and friends and to our city which has lost a great lady. 1/3"
2016-01-01,"Paid Notice: Deaths  KELLY, ELLSWORTH",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9A05E5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,KELLY--Ellsworth. The Board of Directors and the staff of the Foundation for Contemporary Arts notes with sorrow the passing of Ellsworth Kelly. His unique artistic vision and his consistent generosity were unparalleled examples of how one artist's work and life can enrich so many. 1/3
2016-01-01,"Paid Notice: Deaths  KELLY, ELLSWORTH",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9B04E5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"KELLY--Ellsworth. Pratt Institute is saddened by the loss of one of the most defining abstract painters of our time, Ellsworth Kelly, who studied at the institution in the 1940s. Minimal in form, bold in color, and widely influential, Kelly's work is featured in prominent museums, galleries, and private collections across the globe. As a true pioneer extending the boundaries of creativity, Kelly will be revered for his iconic style and artistic vision for generations to come. Pratt Institute Board of Trustees Chairman Bruce Gitlin, President Thomas F. Schutte 1/3"
2016-01-01,"Paid Notice: Deaths  FREILICH, DR",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9E02E6DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"FREILICH--Dr. Gerald. Emeritus professor of mathematics at Queens College of SUNY who specialized in geometric measure theory, passed away on December 27th, 2015 at age 88. Professor Freilich was the author of several books and many research articles and reviews in academic journals. He was a former governor of the Mathematical Association of America as well as Chairman of the New York Metropolitan Section and served on the national panel of the Committee on the Undergraduate Program of Mathematics. Born in Brooklyn, he received a bachelor's degree, Summa Cum Laude, from City College in 1946 and a Doctorate in Mathematics from Brown University in 1949. He taught at Brown University and then at City College of New York, advancing to full professor and Chairman of the Mathematics Department in 1966. During those years, he was an original member of the organizing Committee of the SUNY Doctoral Program and single-handedly established the SUNY graduate Mathematics Library. He also taught at Wesleyan University as a visiting professor. He joined the faculty of Queens College in 1971 and taught there until his retirement in 1995. Professor Freilich served in the US Navy in World War II. After the war, he was a Lieutenant J.G. in the Navy Reserves. He also did research for the National Ordinance Lab on helicopters and submarines. He was survived by Marion (nee Freudenberger) after 62 years of marriage. He is also survived by his brother Dr. Herbert Feilich and children Sandra Novetsky (Dr. Gary) and Dr. David Freilich (Erica) as well as eight grandchildren and six great-grandchildren and many nephews and nieces. 1/3"
2016-01-01,"Paid Notice: Deaths  DWEK, JOE",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9C00E6DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"DWEK--Joe. On behalf of the entire New York-Presbyterian/Queens family, we are saddened by the passing of Joe Dwek, M.D., an admired and respected physician, who joined the staff at NewYork- Presbyterian/Queens (then Booth Memorial Hospital) in 1965. Dr. Dwek was chairman of the Department of Medicine and program director from 1973-1989 and was chairman of Academic Affairs from 1989-93. Our sincere condolences to Dr. Dwek's wife Sally, his children and grandchildren, and the many people whose lives he influenced. Stephen S. Mills, President Gary Zuar, Chairman, Board of Trustees Ruby Malva, M.D., President, Medical Staff Society Jack Mann, M.D., President, Medical Board NewYork- Presbyterian/Queens 1/3"
2016-01-01,"Paid Notice: Deaths  REED, DOLORES",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9D00E5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"REED--Dolores, died peacefully at her Wellington, FL home on December 29, 2015 surrounded by her family. She was a devoted wife for 66 years to her husband, Howard, a loving mother to her children, Janet and Rob, their spouses Dan and Julie, and her grandchildren, Lindsay, Ben, and Michael. Funeral services will be held on Sunday, January 3rd at 10am at Gutterman-Warheit Memorial Chapel at 7240 North Federal Highway, Boca Raton, FL. A graveside service will be on Wednesday, January 6, 2016 at 11am at the Beth David Cemetery, 300 Elmont Rd, Elmont, NY. 1/3"
2016-01-01,Aide Charged in Assault on I. M. Pei,The New York Times,article,http://www.nytimes.com/2016/01/01/nyregion/aide-charged-in-assault-on-i-m-pei.html,Metro,N.Y. / Region,"The renowned 98-year-old architect told the police that his aide, Eter Nikolaishvili, 28, grabbed his right forearm and forcefully twisted it on Dec. 13."
2016-01-01,A Hastings-on-Hudson Couple and a Friend Die in a Head-On Crash in Vermont,The New York Times,article,http://www.nytimes.com/2016/01/01/nyregion/a-hastings-on-hudson-couple-and-a-friend-die-in-a-head-on-crash-in-vermont.html,Metro,N.Y. / Region,"Three adults were killed and three others were severely injured when a tractor-trailer struck their S.U.V. on an icy highway, the police said."
2016-01-01,"Bronx Man, a Father Figure in His Family, Is Fatally Attacked by 6 Men",The New York Times,article,http://www.nytimes.com/2016/01/01/nyregion/bronx-man-a-father-figure-in-his-family-is-fatally-attacked-by-6-men.html,Metro,N.Y. / Region,"Hugo Galindo had planned to watch the ball drop in Times Square. But early Thursday morning, he was beaten and stabbed just blocks from his home."
2016-01-01,Xavier Takes Its First Loss at the Hands of Villanova,The New York Times,article,http://www.nytimes.com/2016/01/01/sports/ncaabasketball/xavier-takes-its-first-loss-at-the-hands-of-villanova.html,Sports,Sports,"No. 16 Villanova may again be the team to beat in the Big East. It thumped No. 6 Xavier, 95-64, at home on Thursday."
2016-01-01,South Africa: A King Goes to Prison,The New York Times,article,http://www.nytimes.com/2016/01/01/world/africa/south-africa-a-king-goes-to-prison.html,Foreign,World,"The king of the AbaThembu clan has started a 12-year sentence for arson, kidnapping and assault, local news media reported on Thursday."
2016-01-01,Rwanda: President Paul Kagame Says He’ll Run Again,The New York Times,article,http://www.nytimes.com/2016/01/01/world/africa/rwanda-president-paul-kagame-says-hell-run-again.html,Foreign,World,"Mr. Kagame announced his intention to seek a third term in 2017, confirming a decision that was widely expected after the approval of constitutional changes."
2016-01-01,New York City and Correction Officers Reach Tentative Contract Deal,The New York Times,article,http://www.nytimes.com/2016/01/01/nyregion/new-york-city-correction-officers-reach-tentative-contract-deal.html,Metro,N.Y. / Region,"If approved, the contract would include an 11 percent raise over seven years and measures that would enable more efficient prosecution of inmates who assault officers at Rikers Island."
2016-01-01,Yemen: Assailants Kill a Militia Leader,The New York Times,article,http://www.nytimes.com/2016/01/01/world/middleeast/yemen-assailants-kill-a-militia-leader.html,Foreign,World,The leader and five of his companions were killed in a drive-by shooting just hours after he had handed over control of a strategic port to government troops.
2016-01-01,Returning to Outdoor Roots in Winter Classic,The New York Times,article,http://www.nytimes.com/2016/01/01/sports/hockey/returning-to-outdoor-roots-in-winter-classic.html,Sports,Sports,The even has grown into a festival of fresh air hockey that this year included for the first time a professional women’s game.
2016-01-01,"Monitoring of Terrorism Threats Has Risen, Official Says",The New York Times,article,http://www.nytimes.com/2016/01/01/world/europe/monitoring-of-terrorism-threats-has-risen-official-says.html,Foreign,World,"As the new year approached on Thursday, the police in Munich evacuated two train stations and warned residents to avoid large groups, citing “concrete hints” about a possible attack."
2016-01-01,Experts Foresee Obstacles for Both Sides in Bill Cosby Case,The New York Times,article,http://www.nytimes.com/2016/01/01/us/experts-foresee-obstacles-for-both-sides-in-bill-cosby-case.html,National,U.S.,"Legal experts said the road to conviction was filled with significant hurdles, including a lack of forensic evidence related to the decade-old allegation by the woman at the center of the case."
2016-01-01,Spurs’ Duncan Is Set to Return in Showdown With the Rockets,The New York Times,article,http://www.nytimes.com/2016/01/01/sports/basketball/nba-roundup.html,Sports,Sports,"The 39-year-old Tim Duncan has missed San Antonio&#8217;s past three games, two of them with soreness in his right knee."
